account	studentcode	gender	yearofbirth	grade	type
A10261	36157082	女	1988	2013	硕士
A11648	92011843	男	1997	2014	本科
A12575	74018209	男	1991	2010	本科
A12611	58181762	男	1984	2011	硕士
A12625	38112091	男	1990	2012	硕士
A12906	25127798	男	1983	2012	硕士
A12925	89124692	男	1990	2012	硕士
A12955	92127592	女	1992	2014	博士
A13072	36009860	男	1991	2010	本科
A13104	71057645	男	1991	2011	本科
A13114	91124542	男	1990	2012	硕士
A13116	63180763	女	1989	2012	硕士
A13121	38131850	男	1989	2012	硕士
A13122	68139978	男	1990	2012	硕士
A13313	47011188	女	1991	2010	本科
A13357	17180852	男	1983	2012	硕士
A13370	76118305	男	1988	2012	硕士
A13375	68127777	男	1990	2012	硕士
A13562	63120727	女	1991	2012	硕士
A13579	17192697	男	1986	2014	硕士
A13582	97133751	男	1989	2014	博士
A13583	91022433	男	1996	2014	本科
A13796	66174154	男	1989	2012	硕士
A13797	63170893	女	1991	2012	硕士
A13799	33160933	男	1991	2012	硕士
A13896	16128193	男	1985	2009	博士
A13933	77065582	男	1992	2010	本科
A13936	37034883	男	1992	2010	本科
A13970	97119178	女	1987	2012	硕士
A13975	31113782	男	1990	2012	硕士
A13976	57160616	男	1989	2012	硕士
A14132	72139967	女	1985	2008	博士
A14187	98119368	男	1979	2011	硕士
A14203	92040502	女	1994	2011	本科
A14206	64057455	男	1993	2011	本科
A14226	42161125	男	1989	2012	硕士
A14229	16161472	女	1989	2012	硕士
A14237	82107464	男	1994	2012	本科
A14337	76028349	男	1992	2010	本科
A14375	79161356	男	1989	2012	硕士
A14376	36160750	男	1987	2012	硕士
A14380	77112761	男	1990	2012	硕士
A14381	33183155	男	1989	2012	硕士
A14388	69167385	男	1991	2013	博士
A14389	65177598	男	1988	2013	博士
A14390	91161254	男	1991	2012	硕士
A14482	23079886	男	1991	2009	本科
A14558	72121859	女	1985	2014	博士
A14712	34111448	女	1988	2012	硕士
A14751	13129281	男	1984	2010	博士
A14755	86106888	男	1991	2010	本科
A14893	35174147	男	1990	2012	硕士
A14901	13065676	男	1994	2013	本科
A14960	92061708	女	1992	2010	本科
A14965	51043400	男	1992	2010	本科
A14979	47016707	男	1993	2012	本科
A14985	69139266	男	1990	2013	硕士
A15018	15047873	男	1983	2008	博士
A15336	93109132	男	1989	2012	硕士
A15482	23174153	男	1988	2012	硕士
A15538	89066098	男	1992	2010	本科
A15701	69115717	男	1991	2012	硕士
A15717	54001269	女	1988	2007	本科
A15746	28135203	女	1984	2010	博士
A15776	49167491	男	1989	2012	硕士
A15839	53176293	男	1981	2011	硕士
A15846	71065945	女	1991	2010	本科
A15850	96161477	女	1989	2012	硕士
A15853	23133221	男	1991	2013	硕士
A15947	85057768	男	1995	2013	本科
A15981	31057272	男	1992	2010	本科
A15988	88183946	女	1974	2011	硕士
A16004	89109739	男	1991	2012	硕士
A16012	47136065	男	1987	2014	博士
A16100	92057612	女	1995	2013	本科
A16147	89054984	男	1993	2011	本科
A16149	95161530	男	1990	2012	硕士
A16198	84065753	男	1986	2008	博士
A16331	53120960	女	1989	2012	硕士
A16417	23112518	女	1989	2012	硕士
A16418	52063572	男	1994	2012	本科
A16467	81008372	男	1992	2010	本科
A16483	82116053	男	1989	2012	硕士
A16485	27173362	男	1989	2012	硕士
A16553	58113793	男	1986	2011	博士
A16561	79161013	男	1990	2012	硕士
A16565	19181552	女	1990	2012	硕士
A16567	35073086	男	1994	2012	本科
A16576	94067139	男	1996	2014	本科
A16667	65053943	女	1991	2010	本科
A16671	76060500	女	1991	2010	本科
A16692	25112326	男	1989	2013	硕士
A16914	85131929	男	1991	2014	硕士
A16916	54008210	女	1996	2014	本科
A17075	36160721	男	1988	2012	硕士
A17085	62172101	男	1990	2014	硕士
A17122	45095262	男	1992	2011	本科
A17127	37125683	男	1991	2012	硕士
A17132	95148572	女	1991	2013	硕士
A17198	72171628	男	1989	2012	硕士
A17207	63125385	男	1984	2014	硕士
A17241	21063642	男	1994	2011	本科
A17295	51181333	男	1985	2008	博士
A17336	78165118	女	1990	2013	硕士
A17382	26181110	男	1990	2013	博士
A17412	83131740	女	1981	2009	博士
A17468	56177644	女	1989	2014	硕士
A17511	62164857	男	1990	2012	硕士
A17512	38009879	男	1994	2013	本科
A17515	63111633	女	1992	2014	硕士
A17599	48148778	女	1990	2013	硕士
A17628	75066035	男	1993	2010	本科
A17725	64123385	女	1990	2012	硕士
A17742	13067034	男	1996	2014	本科
A17768	41127761	女	1990	2012	硕士
A17769	26138847	男	1985	2012	硕士
A17770	88175801	男	1989	2012	硕士
A17771	24011861	女	1994	2013	本科
A17825	63182075	男	1990	2012	硕士
A17827	45112331	女	1990	2012	硕士
A17830	75122421	女	1990	2012	硕士
A17833	88084004	男	1994	2012	本科
A17873	37057246	女	1991	2010	本科
A17980	21031388	女	1991	2010	本科
A17985	94126471	男	1983	2011	硕士
A17998	77183908	男	1987	2014	博士
A18036	33026584	男	1992	2011	本科
A18054	37161612	女	1991	2013	硕士
A18173	43180253	男	1984	2011	博士
A18221	61087123	男	1994	2012	本科
A18314	97106003	男	1995	2013	本科
A18316	54110026	女	1991	2014	硕士
A18325	62129833	男	1981	2009	博士
A18524	54183176	男	1989	2012	硕士
A18537	81159148	男	1992	2014	硕士
A18538	94159247	男	1991	2014	博士
A18574	79135070	男	1987	2012	博士
A18649	49057657	女	1995	2012	本科
A18688	23169320	女	1985	2011	博士
A18696	12166764	女	1992	2014	硕士
A18697	36058679	男	1996	2014	本科
A18774	55061183	女	1996	2014	本科
A18818	79111973	男	1989	2012	硕士
A18822	69148392	男	1992	2013	硕士
A18912	12161188	男	1990	2012	硕士
A18913	88146108	男	1989	2012	硕士
A18922	54128918	女	1992	2014	硕士
A18958	18060300	女	1995	2012	本科
A18963	16061343	女	1995	2014	本科
A19014	42070869	女	1994	2012	本科
A19024	39194326	男	1987	2014	硕士
A19084	64122985	男	1980	2009	博士
A19093	14090807	男	1991	2010	本科
A19115	79188048	男	1987	2012	硕士
A19117	37119020	男	1989	2012	硕士
A19172	45124390	男	1989	2011	硕士
A19299	17180083	男	1988	2014	博士
A19329	39127488	男	1985	2007	博士
A19358	62180175	男	1990	2012	硕士
A19359	58057247	女	1993	2012	本科
A19367	35088553	女	1994	2013	本科
A19395	96067536	男	1991	2010	本科
A19396	73065674	男	1991	2010	本科
A19413	46063861	男	1994	2013	本科
A19493	17066439	男	1993	2012	本科
A19500	89054574	女	1994	2013	本科
A19505	48174120	女	1992	2014	硕士
A19544	74175945	男	1989	2012	硕士
A19551	72144252	男	1988	2012	博士
A19608	31161081	女	1990	2012	硕士
A19609	33165433	女	1990	2012	硕士
A19615	84123929	男	1984	2013	硕士
A19621	49138825	男	1991	2014	硕士
A19652	43064727	男	1991	2010	本科
A19665	15160820	男	1989	2012	硕士
A19668	21173382	男	1990	2012	硕士
A19669	56135924	男	1991	2012	硕士
A19707	19064776	男	1991	2010	本科
A19732	17074704	男	1991	2010	本科
A19763	38049321	女	1990	2011	本科
A19811	84183401	女	1988	2011	硕士
A19833	49067908	女	1995	2014	本科
A19869	23175118	男	1991	2013	硕士
A19927	61127780	男	1989	2012	硕士
A19936	42063627	男	1997	2014	本科
A19956	17062503	男	1992	2010	本科
A19959	39004307	男	1991	2010	本科
A19971	33023949	男	1995	2013	本科
A20051	18060209	男	1995	2013	本科
A20241	66121753	女	1987	2012	硕士
A20248	15115684	女	1991	2013	硕士
A20251	83024777	女	1996	2014	本科
A20281	43117375	男	1981	2011	硕士
A20285	62161355	男	1990	2012	硕士
A20287	89104647	女	1995	2012	本科
A20288	54061162	男	1995	2013	本科
A20327	92129277	女	1990	2011	硕士
A20411	59169002	女	1986	2009	博士
A20592	76030910	男	1992	2010	本科
A20601	21065012	女	1994	2012	本科
A20602	17042194	男	1995	2013	本科
A20603	91078366	男	1995	2013	本科
A20605	17182070	女	1989	2014	博士
A20627	73033796	女	1991	2010	本科
A20645	74165559	女	1992	2014	硕士
A20663	44060433	女	1994	2013	本科
A20665	55052329	男	1996	2014	本科
A20700	57172458	男	1991	2013	硕士
A20724	55057381	女	1994	2013	本科
A20768	38140373	男	1989	2012	硕士
A20795	61056963	女	1992	2010	本科
A20802	33160979	男	1992	2012	硕士
A20843	96051821	男	1995	2013	本科
A20845	69161109	女	1989	2012	硕士
A20909	58047968	男	1992	2011	本科
A20943	74113249	男	1989	2012	硕士
A20974	28065351	男	1991	2010	本科
A21009	94157628	男	1989	2011	硕士
A21019	95165430	女	1989	2012	硕士
A21049	96121898	男	1988	2011	硕士
A21059	88160923	男	1991	2012	硕士
A21060	94024059	女	1994	2012	本科
A21066	88141550	女	1988	2013	硕士
A21070	77049111	男	1993	2013	本科
A21074	57067035	女	1995	2014	本科
A21108	93064796	男	1992	2010	本科
A21151	22056768	男	1995	2013	本科
A21183	89096033	男	1994	2012	本科
A21188	13173239	男	1991	2014	硕士
A21189	48121414	男	1978	2014	硕士
A21274	16119000	男	1988	2012	硕士
A21279	67065027	男	1995	2013	本科
A21303	29162737	男	1990	2012	硕士
A21355	65069741	男	1995	2014	本科
A21377	36160026	男	1989	2011	博士
A21430	46107231	男	1979	2008	博士
A21449	12067040	男	1995	2014	本科
A21475	56056315	男	1992	2010	本科
A21489	68053104	男	1993	2011	本科
A21492	41132752	男	1990	2012	硕士
A21493	63166009	女	1989	2012	硕士
A21496	35162210	女	1990	2013	硕士
A21591	54068103	女	1991	2010	本科
A21599	34161715	女	1990	2014	硕士
A21648	97179014	女	1990	2012	硕士
A21670	88170742	男	1990	2012	硕士
A21672	26122891	男	1989	2012	硕士
A21695	33007719	男	1991	2010	本科
A21702	42139782	男	1988	2011	硕士
A21710	66109144	男	1991	2012	硕士
A21712	98015713	男	1993	2012	本科
A21719	74056136	男	1994	2013	本科
A21723	13064977	男	1996	2014	本科
A21737	51067390	男	1990	2010	本科
A21741	93180856	男	1983	2011	硕士
A21772	88104864	男	1992	2010	本科
A21793	93125601	男	1990	2012	硕士
A21826	86124372	女	1989	2011	硕士
A21870	91128201	男	1990	2012	硕士
A21872	46103780	男	1994	2012	本科
A21875	97159421	女	1992	2014	硕士
A21898	51160322	女	1989	2011	博士
A21901	94065602	男	1996	2014	本科
A21956	35138265	女	1990	2014	硕士
A21979	58050860	男	1992	2011	本科
A21982	43173369	男	1990	2012	硕士
A21983	13163388	男	1990	2012	硕士
A22029	16122540	男	1982	2011	硕士
A22030	75065086	女	1993	2011	本科
A22036	71146110	女	1990	2012	硕士
A22062	87121883	男	1982	2010	博士
A22096	83160341	女	1986	2009	博士
A22134	93038172	男	1991	2010	本科
A22140	84118999	男	1990	2012	硕士
A22186	78175498	男	1989	2011	硕士
A22213	67112005	男	1985	2011	博士
A22215	44160981	女	1990	2012	硕士
A22257	34183411	男	1980	2014	博士
A22341	43115037	男	1991	2014	硕士
A22381	64165427	男	1979	2008	博士
A22409	68066642	男	1994	2012	本科
A22428	59002253	男	1991	2010	本科
A22430	69060354	男	1991	2010	本科
A22434	16179019	男	1989	2012	硕士
A22438	64169087	女	1990	2014	硕士
A22457	44059362	男	1993	2010	本科
A22493	69030894	男	1996	2012	本科
A22495	18159303	男	1994	2014	博士
A22507	36033596	女	1992	2014	博士
A22569	97072984	女	1992	2010	本科
A22595	82059259	男	1992	2010	本科
A22602	77055410	女	1994	2012	本科
A22627	96118934	男	1985	2010	博士
A22649	79052253	男	1996	2014	本科
A22796	73113389	女	1990	2014	硕士
A22799	32031993	男	1986	2008	博士
A22806	12064544	男	1992	2010	本科
A22840	32035563	女	1992	2010	本科
A22880	76034433	男	1993	2011	本科
A22883	72127722	男	1989	2012	硕士
A22946	28015040	男	1991	2010	本科
A22994	82121134	女	1991	2014	硕士
A23050	57049062	男	1992	2010	本科
A23076	12064200	男	1996	2014	本科
A23095	59161501	男	1990	2012	硕士
A23100	24134838	男	1991	2014	硕士
A23145	35111553	女	1988	2013	硕士
A23201	65005149	女	1992	2010	本科
A23219	91051225	男	1996	2013	本科
A23221	67111322	男	1992	2014	硕士
