fromaccount,toaccount,syscode,timestamp,amount
B78222,1000176,99,2014/10/1 9:17,1500
A66406,1000176,99,2014/10/1 9:43,1700
A66406,1000176,99,2014/10/1 9:43,1700
D46285,1000176,99,2014/10/1 11:00,750
C51564,1000176,99,2014/10/1 10:49,2380
E76250,1000176,99,2014/10/1 11:16,1500
A65995,1000176,99,2014/10/1 15:32,3000
D13985,1000176,99,2014/10/1 15:42,3000
B77076,1000176,99,2014/10/1 9:59,1700
A78687,1000176,99,2014/10/1 10:01,5700
A23735,1000176,99,2014/10/1 11:46,3330
D77422,1000176,99,2014/10/1 10:01,400
B76882,1000176,99,2014/10/1 11:26,680
B51246,1000176,99,2014/10/1 11:26,680
E51372,1000176,99,2014/10/1 11:46,1500
A72158,1000176,99,2014/10/1 18:13,1360
E29559,1000176,99,2014/10/1 21:38,1380
A69764,1000176,99,2014/10/1 18:17,600
A77957,1000176,99,2014/10/1 9:32,1200
D72032,1000176,99,2014/10/1 10:15,200
E51307,1000176,99,2014/10/1 10:15,3400
A54801,1000176,99,2014/10/1 10:26,1200
C58054,1000176,99,2014/10/1 10:33,3000
B74174,1000176,99,2014/10/1 10:33,400
A74376,1000176,99,2014/10/1 12:01,800
B51047,1000176,99,2014/10/1 20:11,980
E54799,1000176,99,2014/10/1 20:21,680
D65046,1000176,99,2014/10/1 20:38,130
B48702,1000176,99,2014/10/1 10:50,750
D49190,1000176,99,2014/10/1 11:10,1200
C71800,1000176,99,2014/10/1 17:09,1430
E28023,1000176,99,2014/10/1 16:15,2200
C76028,1000176,99,2014/10/1 12:35,2000
B77907,1000176,99,2014/10/1 12:37,1800
B46347,1000176,99,2014/10/1 9:22,3000
E30653,1000176,99,2014/10/1 9:23,1200
C77672,1000176,99,2014/10/1 11:29,400
B47639,1000176,99,2014/10/1 11:45,1200
D62890,1000176,99,2014/10/1 16:23,1880
D43064,1000176,99,2014/10/1 17:48,1180
C42174,1000176,99,2014/10/1 10:28,1500
A46140,1000176,99,2014/10/1 17:21,3700
D72264,1000176,99,2014/10/1 11:59,2000
B69584,1000176,99,2014/10/1 9:38,3400
D16625,1000176,99,2014/10/1 9:38,1360
A75269,1000176,99,2014/10/1 12:02,1360
A61292,1000176,99,2014/10/1 16:27,2200
B62225,1000176,99,2014/10/1 16:41,3200
B73688,1000176,99,2014/10/1 12:54,1300
C25784,1000176,99,2014/10/1 16:52,2800
D53289,1000176,99,2014/10/1 9:18,800
C58054,1000176,99,2014/10/1 10:38,650
D66714,1000176,99,2014/10/1 12:20,500
B73794,1000176,99,2014/10/1 16:29,680
C45582,1000176,99,2014/10/1 16:46,100
C54508,1000176,99,2014/10/1 12:59,1500
C54508,1000176,99,2014/10/1 13:03,2950
C53183,1000176,99,2014/10/1 14:16,300
D73450,1000176,99,2014/10/1 14:18,1600
C77688,1000176,99,2014/10/1 14:22,1800
A79265,1000176,99,2014/10/1 15:04,2480
E51015,1000176,99,2014/10/1 15:06,2400
C46956,1000176,99,2014/10/1 15:10,3300
B79634,1000176,99,2014/10/1 16:08,1700
A48231,1000176,99,2014/10/1 13:10,3300
B57434,1000176,99,2014/10/1 13:15,1360
E75887,1000176,99,2014/10/1 13:16,1600
E75887,1000176,99,2014/10/1 13:17,1500
A60968,1000176,99,2014/10/1 13:48,1380
A64585,1000176,99,2014/10/1 13:25,4600
D50909,1000176,99,2014/10/1 13:42,2000
B61768,1000176,99,2014/10/1 13:46,680
A66203,1000176,99,2014/10/1 13:51,3100
B36781,1000176,99,2014/10/1 18:49,1600
C33972,1000176,99,2014/10/1 18:50,3000
E51307,1000176,99,2014/10/1 15:19,600
C33972,1000176,99,2014/10/1 17:44,680
B75505,1000176,99,2014/10/1 17:43,750
D53372,1000176,99,2014/10/1 17:49,3000
C55376,1000176,99,2014/10/1 19:04,4980
A59354,1000176,99,2014/10/1 19:05,2300
D73178,1000176,99,2014/10/1 19:15,2180
D73178,1000176,99,2014/10/1 19:15,680
E49283,1000176,99,2014/10/1 19:45,2400
E76789,1000176,99,2014/10/1 10:42,1360
E42135,1000176,99,2014/10/1 19:46,2800
E42135,1000176,99,2014/10/1 19:48,2400
B63809,1000176,99,2014/10/1 19:52,2400
D73596,1000176,99,2014/10/1 20:01,4800
E50972,1000176,99,2014/10/1 20:02,4800
E65693,1000176,99,2014/10/1 20:03,4700
C48006,1000176,99,2014/10/1 18:29,1880
A58195,1000176,99,2014/10/1 18:29,1200
B51047,1000176,99,2014/10/1 21:03,2160
A47998,1000176,99,2014/10/1 18:20,2580
C64088,1000176,99,2014/10/1 21:21,1000
A46179,1000176,99,2014/10/2 17:24,680
C71615,1000176,99,2014/10/2 10:53,1380
B63239,1000176,99,2014/10/2 12:09,1200
E68348,1000176,99,2014/10/2 11:48,1860
C30359,1000176,99,2014/10/2 17:14,4300
B79724,1000176,99,2014/10/2 12:23,2350
A67273,1000176,99,2014/10/2 13:14,1500
A36678,1000176,99,2014/10/2 14:51,2300
D58683,1000176,99,2014/10/2 15:14,2800
E77764,1000176,99,2014/10/2 17:38,1380
B62666,1000176,99,2014/10/2 10:57,2040
E77921,1000176,99,2014/10/2 12:16,1180
D70790,1000176,99,2014/10/2 13:31,1500
D79638,1000176,99,2014/10/2 17:55,1180
E34393,1000176,99,2014/10/2 12:09,680
A49779,1000176,99,2014/10/2 12:06,2000
B58405,1000176,99,2014/10/2 12:29,1360
